Position,Gymnast,D Score,E Score,Penalty,Total
,Oleg Verniaiev (UKR),6.9,9.225,,16.125
,Danell Leyva (USA),6.9,9.033,,15.933
,Ryohei Kato (JPN),6.7,8.966,,15.666
4.0,Deng Shudi (CHN),7.1,8.533,,15.633
5.0,Yusuke Tanaka (JPN),6.2,8.841,,15.041
6.0,Cheng Ran (CHN),6.8,8.066,,14.866
7.0,Donnell Whittenburg (USA),6.1,8.266,,14.366
8.0,Nikolai Kuksenkov (RUS),6.5,7.166,,13.666
