Position,Gymnast,D Score,E Score,Penalty,Total
,Denis Ablyazin (RUS),7.1,8.65,,15.75
,Kenzo Shirai (JPN),7.4,8.433,0.1,15.733
,Diego Hypólito (BRA),7.0,8.7,,15.7
4.0,Jacob Dalton (USA),6.7,8.9,,15.6
5.0,Kim Han-sol (KOR),6.5,9.0,,15.5
6.0,Ryohei Kato (JPN),7.1,8.366,,15.466
7.0,Eleftherios Kosmidis (GRE),6.6,8.55,0.1,15.05
8.0,Rayderley Zapata (ESP),6.6,7.3,,13.9
