Position,Gymnast,D Score,E Score,Penalty,Total
,Kōhei Uchimura (JPN),7.1,8.733,,15.833
,Danell Leyva (USA),7.3,8.4,,15.7
,Manrique Larduet (CUB),7.0,8.6,,15.6
4.0,Arthur Mariano (BRA),6.5,8.666,,15.166
5.0,Andreas Bretschneider (GER),7.2,7.766,,14.966
6.0,Chris Brooks (USA),6.4,7.4,,13.8
7.0,Fabian Hambüchen (GER),7.2,6.3,,13.5
7.0,Oliver Hegi (SUI),6.0,7.5,,13.5
