Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,round,year
1,nikita nagornyy,RUS,5.6,9.333,0.0,14.933,5.6,9.4,0.0,15.0,14.966,final,2019
2,artur dalaloyan,RUS,5.6,9.333,0.0,14.933,5.6,9.333,0.0,14.933,14.933,final,2019
3,igor radivilov,UKR,5.6,9.233,0.0,14.833,5.6,9.066,0.0,14.666,14.749,final,2019
4,marian dragulescu,ROU,5.6,9.366,0.0,14.966,5.4,8.883,0.0,14.283,14.624,final,2019
5,dominick cunningham,none,5.2,9.366,0.0,14.566,5.4,9.166,0.0,14.566,14.566,final,2019
6,le thanh tung,VIE,5.6,9.066,0.0,14.666,5.2,9.2,0.0,14.4,14.533,final,2019
7,shek wai hung,HKG,6.0,7.933,0.0,13.933,6.0,9.0,0.0,15.0,14.466,final,2019
8,yang hak-seon,SKR,6.0,8.033,-0.3,13.733,5.6,9.3,0.0,14.9,14.316,final,2019
