Rank,Athlete,Nation,D,E,ND,Total,round,year
83,alexander shatilov,ISR,5.6,7.1,0.0,12.7,qual,2018
84,mitchell morgans,AUS,5.6,7.066,0.0,12.666,qual,2018
85,slavomir michnak,SVK,4.4,8.233,0.0,12.633,qual,2018
86,israel chiriboga,ECU,4.5,8.133,0.0,12.633,qual,2018
87,clay mason stephens,AUS,4.8,7.833,0.0,12.633,qual,2018
88,lee chih-kai,none,4.9,7.7,0.0,12.6,qual,2018
89,nikola jurkovic,SRB,5.0,7.6,0.0,12.6,qual,2018
90,matthias schwab,AUT,5.1,7.5,0.0,12.6,qual,2018
91,noah kuavita,BEL,5.7,6.9,0.0,12.6,qual,2018
92,georgios chatziefstathiou,GRE,4.3,8.266,0.0,12.566,qual,2018
93,daniel radovesnicky,CZE,4.9,7.666,0.0,12.566,qual,2018
94,franz card,FIN,4.5,8.033,0.0,12.533,qual,2018
95,mikhail koudinov,NZL,4.9,7.633,0.0,12.533,qual,2018
96,cristian bataga,ROU,5.1,7.433,0.0,12.533,qual,2018
97,marco sarrugerio,ITA,4.6,7.9,0.0,12.5,qual,2018
97,ahmed al dyani,QAT,4.6,7.9,0.0,12.5,qual,2018
99,bernardo almeida,POR,4.9,7.6,0.0,12.5,qual,2018
100,isaac nuñez,MEX,5.1,7.366,0.0,12.466,qual,2018
101,sofus heggemsnes,NOR,4.1,8.333,0.0,12.433,qual,2018
102,adam steele,IRL,4.5,7.933,0.0,12.433,qual,2018
103,yul moldauer,USA,5.0,7.433,0.0,12.433,qual,2018
104,pham phuoc hung,VIE,4.4,8.0,0.0,12.4,qual,2018
105,ferhat arican,TUR,5.2,7.2,0.0,12.4,qual,2018
106,ilyas azizov,KAZ,4.1,8.266,0.0,12.366,qual,2018
107,oleg verniaiev,UKR,4.9,7.466,0.0,12.366,qual,2018
108,michael sorokine,ISR,5.1,7.266,0.0,12.366,qual,2018
109,elias koski,FIN,4.4,7.933,0.0,12.333,qual,2018
110,shiao yu-jan,none,4.0,8.3,0.0,12.3,qual,2018
111,lukas kranzlmüller,AUT,4.3,8.0,0.0,12.3,qual,2018
111,ethan dick,NZL,4.3,8.0,0.0,12.3,qual,2018
113,robert tvorogal,LTU,5.3,7.0,0.0,12.3,qual,2018
114,david rumbutis,SWE,4.2,8.066,0.0,12.266,qual,2018
115,adelin kotrong,ROU,4.4,7.866,0.0,12.266,qual,2018
116,maksym vasylenko,UKR,5.3,6.966,0.0,12.266,qual,2018
117,lee jun-ho,SKR,5.5,6.766,0.0,12.266,qual,2018
