Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,Oleg Verniaiev,UKR,6.9,8.966,0.0,2015,final,15.866,1
2,Marius Berbecar,ROU,6.7,8.6,0.0,2015,final,15.3,0
3,Christian Baumann,SUI,6.4,8.9,0.0,2015,final,15.3,0
4,Oleg Stepko,AZE,6.5,8.766,0.0,2015,final,15.266,0
5,Andrei Muntean,ROU,6.6,8.533,0.0,2015,final,15.133,0
6,Petro Pakhnyuk,AZE,6.5,8.466,0.0,2015,final,14.966,0
7,Ferhat Arıcan,TUR,6.2,7.633,0.0,2015,final,13.833,0
8,Aliaksandr Tsarevich,BLR,4.0,8.733,0.0,2015,final,12.733,0
