Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,Nation,year
81,ahmed abdelrahman,0.0,12.666,0.0,13.066,12.333,0.0,38.065,qual,Egypt,2021
82,roman vashchenko,13.933,0.0,12.3,0.0,0.0,11.8,38.033,qual,Ukraine,2021
83,pavel gulidov,13.033,0.0,11.466,0.0,13.166,0.0,37.665,qual,Israel,2021
84,trinh hai khang,11.966,0.0,0.0,13.966,11.7,0.0,37.632,qual,Vietnam,2021
85,adam dobrovitz,10.95,0.0,12.2,12.933,0.0,0.0,36.083,qual,Hungary,2021
86,ashish kumar,0.0,11.0,12.1,10.083,0.0,0.0,33.183,qual,India,2021
87,hu xuwei,0.0,0.0,0.0,0.0,15.233,14.533,29.766,qual,China,2021
88,courtney tulloch great,0.0,0.0,14.666,14.533,0.0,0.0,29.199,qual,Britain,2021
89,donnell whittenburg united,13.866,0.0,0.0,15.033,0.0,0.0,28.899,qual,States,2021
90,petro pakhniuk,0.0,13.9,0.0,0.0,14.666,0.0,28.566,qual,Ukraine,2021
91,yahor sharamkou,13.766,0.0,0.0,14.566,0.0,0.0,28.332,qual,Belarus,2021
92,ivan stretovich,14.266,0.0,0.0,0.0,0.0,14.0,28.266,qual,Russia,2021
93,shiao yu-jan,13.933,14.233,0.0,0.0,0.0,0.0,28.166,qual,Taiwan,2021
94,frank rijken,0.0,13.966,0.0,0.0,14.133,0.0,28.099,qual,Netherlands,2021
95,noe seifert,0.0,13.466,0.0,0.0,14.566,0.0,28.032,qual,Switzerland,2021
96,ondrej kalny czech,14.2,0.0,0.0,13.766,0.0,0.0,27.966,qual,Republic,2021
97,filip lidbeck,13.433,0.0,0.0,14.3,0.0,0.0,27.733,qual,Sweden,2021
98,thomas grasso,12.8,0.0,0.0,14.833,0.0,0.0,27.633,qual,Italy,2021
99,zachary clay,0.0,13.933,0.0,0.0,13.633,0.0,27.566,qual,Canada,2021
100,alexander myakinin,0.0,13.566,0.0,0.0,0.0,13.8,27.366,qual,Israel,2021
100,mukhammadzhon yakubov,13.233,0.0,0.0,14.133,0.0,0.0,27.366,qual,Russia,2021
102,vladislav poliashov,0.0,13.766,0.0,0.0,13.533,0.0,27.299,qual,Russia,2021
103,vladyslav hryko,0.0,14.166,0.0,0.0,0.0,13.066,27.232,qual,Ukraine,2021
104,felix dolci,0.0,0.0,13.666,0.0,0.0,13.4,27.066,qual,Canada,2021
105,maxime gentges,0.0,13.033,0.0,0.0,0.0,13.9,26.933,qual,Belgium,2021
106,lin guan-yi,0.0,0.0,14.133,0.0,12.2,0.0,26.333,qual,Taiwan,2021
107,tseng wei-sheng,12.766,0.0,0.0,13.366,0.0,0.0,26.132,qual,Taiwan,2021
108,dominick cunningham great,11.466,0.0,0.0,14.633,0.0,0.0,26.099,qual,Britain,2021
108,david rumbutis,0.0,0.0,12.833,13.266,0.0,0.0,26.099,qual,Sweden,2021
110,brinn bevan great,0.0,11.666,0.0,0.0,14.366,0.0,26.032,qual,Britain,2021
111,kristopher bohorquez,0.0,0.0,13.366,0.0,12.633,0.0,25.999,qual,Colombia,2021
112,josue juarez,0.0,0.0,0.0,0.0,14.566,11.333,25.899,qual,Mexico,2021
113,javier sandoval,0.0,13.133,0.0,0.0,0.0,12.666,25.799,qual,Colombia,2021
114,thierno diallo,0.0,13.033,12.366,0.0,0.0,0.0,25.399,qual,Spain,2021
115,dilan jimenez,11.866,0.0,0.0,13.366,0.0,0.0,25.232,qual,Colombia,2021
116,antonios tantalidis,13.033,12.166,0.0,0.0,0.0,0.0,25.199,qual,Greece,2021
117,mustafa arca,11.466,0.0,0.0,13.666,0.0,0.0,25.132,qual,Turkey,2021
118,stefanos tsolakidis,0.0,12.8,0.0,0.0,12.2,0.0,25.0,qual,Greece,2021
119,szabolcs batori,0.0,12.033,0.0,0.0,12.866,0.0,24.899,qual,Hungary,2021
120,santos martinez,0.0,0.0,11.7,13.033,0.0,0.0,24.733,qual,Mexico,2021
121,dimitar dimitrov,10.6,0.0,0.0,14.1,0.0,0.0,24.7,qual,Bulgaria,2021
122,ivan tikhonov,0.0,0.0,0.0,13.7,0.0,10.966,24.666,qual,Azerbaijan,2021
123,phan ngoc hung,0.0,12.5,11.8,0.0,0.0,0.0,24.3,qual,Vietnam,2021
124,ilyas azizov,13.933,9.966,0.0,0.0,0.0,0.0,23.899,qual,Kazakhstan,2021
125,gagik khachikyan,0.0,11.6,0.0,0.0,12.066,0.0,23.666,qual,Armenia,2021
126,moreno kratter,11.033,0.0,0.0,0.0,0.0,11.975,23.008,qual,Switzerland,2021
127,abdelrahman abdelhaleem,0.0,11.366,0.0,0.0,0.0,11.6,22.966,qual,Egypt,2021
128,yazan al souliman,0.0,9.933,0.0,0.0,12.533,0.0,22.466,qual,Syria,2021
129,igor radivilov,0.0,0.0,7.166,14.7,0.0,0.0,21.866,qual,Ukraine,2021
130,diego neumaier,0.0,12.4,0.0,0.0,0.0,8.433,20.833,qual,Mexico,2021
131,kerem sener,0.0,8.866,0.0,0.0,0.0,11.166,20.032,qual,Turkey,2021
132,weng hao,0.0,15.6,0.0,0.0,0.0,0.0,15.6,qual,China,2021
133,stephen nedoroscik united,0.0,15.366,0.0,0.0,0.0,0.0,15.366,qual,States,2021
134,alec yoder united,0.0,15.3,0.0,0.0,0.0,0.0,15.3,qual,States,2021
135,lan xingyu,0.0,0.0,15.266,0.0,0.0,0.0,15.266,qual,China,2021
136,nariman kurbanov,0.0,15.0,0.0,0.0,0.0,0.0,15.0,qual,Kazakhstan,2021
137,minami kazuki,14.966,0.0,0.0,0.0,0.0,0.0,14.966,qual,Japan,2021
138,yonekura hidenobu,0.0,0.0,0.0,14.933,0.0,0.0,14.933,qual,Japan,2021
139,yang hakseon south,0.0,0.0,0.0,14.933,0.0,0.0,14.933,qual,Korea,2021
140,filip ude,0.0,14.866,0.0,0.0,0.0,0.0,14.866,qual,Croatia,2021
141,christian baumann,0.0,0.0,0.0,0.0,14.841,0.0,14.841,qual,Switzerland,2021
142,vinzenz höck,0.0,0.0,14.766,0.0,0.0,0.0,14.766,qual,Austria,2021
142,grigoriy klimentev,0.0,0.0,14.766,0.0,0.0,0.0,14.766,qual,Russia,2021
142,ibrahim colak,0.0,0.0,14.766,0.0,0.0,0.0,14.766,qual,Turkey,2021
145,harutyun merdinyan,0.0,14.666,0.0,0.0,0.0,0.0,14.666,qual,Armenia,2021
145,salvatore maresca,0.0,0.0,14.666,0.0,0.0,0.0,14.666,qual,Italy,2021
147,andrey medvedev,0.0,0.0,0.0,14.6,0.0,0.0,14.6,qual,Israel,2021
147,marco lodadio,0.0,0.0,14.6,0.0,0.0,0.0,14.6,qual,Italy,2021
149,hayden skinner great,14.566,0.0,0.0,0.0,0.0,0.0,14.566,qual,Britain,2021
149,marian dragulescu,0.0,0.0,0.0,14.566,0.0,0.0,14.566,qual,Romania,2021
152,emil soravuo,14.533,0.0,0.0,0.0,0.0,0.0,14.533,qual,Finland,2021
153,brody malone united,0.0,0.0,0.0,0.0,0.0,14.366,14.366,qual,States,2021
154,asato keisuke,0.0,0.0,0.0,14.3,0.0,0.0,14.3,qual,Japan,2021
154,uchimura kohei,0.0,0.0,0.0,0.0,0.0,14.3,14.3,qual,Japan,2021
156,carlo macchini,0.0,0.0,0.0,0.0,0.0,14.266,14.266,qual,Italy,2021
157,ali zahran,0.0,0.0,14.233,0.0,0.0,0.0,14.233,qual,Egypt,2021
158,saso bertoncelj,0.0,14.133,0.0,0.0,0.0,0.0,14.133,qual,Slovenia,2021
159,andreas bretschneider,0.0,0.0,0.0,0.0,0.0,14.1,14.1,qual,Germany,2021
159,shek wai hung hong,0.0,0.0,0.0,14.1,0.0,0.0,14.1,qual,Kong,2021
161,ng ka ki hong,0.0,0.0,0.0,14.0,0.0,0.0,14.0,qual,Kong,2021
162,chris kaji,0.0,0.0,13.966,0.0,0.0,0.0,13.966,qual,Canada,2021
163,mateo zugec,0.0,13.866,0.0,0.0,0.0,0.0,13.866,qual,Croatia,2021
163,david vecsernyes,0.0,0.0,0.0,0.0,0.0,13.866,13.866,qual,Hungary,2021
165,arthur mariano,0.0,0.0,0.0,0.0,0.0,13.766,13.766,qual,Brazil,2021
165,jakov vlahek,0.0,13.766,0.0,0.0,0.0,0.0,13.766,qual,Croatia,2021
165,rhys mcclenaghan,0.0,13.766,0.0,0.0,0.0,0.0,13.766,qual,Ireland,2021
168,stavros gkinis,0.0,0.0,13.666,0.0,0.0,0.0,13.666,qual,Greece,2021
169,jaffar saleh al sayigh saudi,0.0,0.0,0.0,13.6,0.0,0.0,13.6,qual,Arabia,2021
170,rani dalsgard,13.5,0.0,0.0,0.0,0.0,0.0,13.5,qual,Denmark,2021
171,xheni dyrmishi,0.0,13.466,0.0,0.0,0.0,0.0,13.466,qual,Austria,2021
171,jon gunnarsson,0.0,0.0,13.466,0.0,0.0,0.0,13.466,qual,Iceland,2021
173,konstantine konstantinidis,0.0,0.0,13.4,0.0,0.0,0.0,13.4,qual,Greece,2021
174,sercan demir,0.0,0.0,0.0,0.0,13.366,0.0,13.366,qual,Turkey,2021
174,alexander diab united,0.0,0.0,13.366,0.0,0.0,0.0,13.366,qual,States,2021
176,cyril tommasone,0.0,13.333,0.0,0.0,0.0,0.0,13.333,qual,France,2021
177,huang mingqi,0.0,0.0,0.0,13.233,0.0,0.0,13.233,qual,China,2021
178,radomir sliz czech,0.0,12.566,0.0,0.0,0.0,0.0,12.566,qual,Republic,2021
179,adria vera,0.0,0.0,0.0,0.0,0.0,12.466,12.466,qual,Spain,2021
180,auren benovic,12.366,0.0,0.0,0.0,0.0,0.0,12.366,qual,Croatia,2021
181,ilfrat imarjanov,0.0,0.0,0.0,0.0,12.066,0.0,12.066,qual,Kazakhstan,2021
182,bae garam south,0.0,11.9,0.0,0.0,0.0,0.0,11.9,qual,Korea,2021
183,elias koski,0.0,11.366,0.0,0.0,0.0,0.0,11.366,qual,Finland,2021
184,jayson rampersad,0.0,11.333,0.0,0.0,0.0,0.0,11.333,qual,Canada,2021
185,nasser al samiri saudi,0.0,0.0,0.0,0.0,10.933,0.0,10.933,qual,Arabia,2021
186,taha serhani,0.0,0.0,0.0,0.0,0.0,10.666,10.666,qual,Switzerland,2021
187,christoforos konstantinidis,10.566,0.0,0.0,0.0,0.0,0.0,10.566,qual,Greece,2021
188,marko jovicic,10.1,0.0,0.0,0.0,0.0,0.0,10.1,qual,Croatia,2021
1,zhang boheng,14.883,13.466,14.6,14.866,15.366,14.8,87.981,final,China,2021
2,hashimoto daiki,14.833,14.166,13.966,14.8,15.066,15.133,87.964,final,Japan,2021
3,illia kovtun,14.366,14.4,12.933,14.3,14.4,14.5,84.899,final,Ukraine,2021
4,yul moldauer united,14.5,14.866,12.466,14.333,14.9,13.3,84.365,final,States,2021
5,ahmet önder,14.1,13.8,13.666,13.966,14.8,13.9,84.232,final,Turkey,2021
6,shi cong,14.466,13.5,13.733,14.658,13.4,14.3,84.057,final,China,2021
7,joel plata,14.133,13.766,13.2,14.0,14.666,13.6,83.365,final,Spain,2021
8,william emard,14.633,12.433,14.625,14.466,13.766,13.333,83.256,final,Canada,2021
9,joshua nathan great,13.7,15.0,12.833,14.366,13.966,13.366,83.231,final,Britain,2021
10,nestor abad,13.9,13.233,13.666,14.233,14.366,13.333,82.731,final,Spain,2021
11,adem asil,14.4,12.733,14.466,14.7,12.6,13.8,82.699,final,Turkey,2021
12,henji mboyo,13.7,13.7,13.4,14.058,13.9,13.933,82.691,final,Switzerland,2021
13,caio souza,13.3,12.2,13.966,14.633,14.566,14.0,82.665,final,Brazil,2021
14,krisztofer meszaros,13.8,13.716,13.066,13.833,13.633,13.533,81.581,final,Hungary,2021
15,robert tvorogal,13.033,13.2,13.175,13.666,14.466,14.0,81.54,final,Lithuania,2021
16,luka van den keybus,13.666,12.933,12.833,14.533,13.5,13.8,81.265,final,Belgium,2021
17,nikita ignatyev,13.733,12.466,13.366,14.116,13.4,13.566,80.647,final,Russia,2021
18,robert kirmes,13.866,13.7,12.633,13.966,13.266,12.366,79.797,final,Finland,2021
19,nikolaos iliopoulos,12.733,12.633,13.308,14.033,13.666,13.366,79.739,final,Greece,2021
20,noah kuavita,13.6,12.9,12.366,13.3,13.166,14.266,79.598,final,Belgium,2021
21,sofus heggemsnes,12.5,13.6,13.233,14.266,12.5,13.2,79.299,final,Norway,2021
22,oskar kirmes,13.566,13.333,12.5,13.666,13.7,11.466,78.231,final,Finland,2021
23,eyal indig,12.833,12.666,11.166,13.466,13.3,12.833,76.264,final,Israel,2021
24,alexander benda,12.333,11.2,12.666,13.633,13.0,11.333,74.165,final,Austria,2021
