Rank,Athlete,FX,PH,SR,VT,PB,HB,AA,round,Nation,year
1,chiba kenta,13.9,14.7,13.666,14.333,14.7,14.5,85.799,qual,Japan,2023
2,kaya kazuma,14.1,14.066,14.2,14.266,14.8,14.166,85.598,qual,Japan,2023
3,hashimoto daiki,14.5,13.266,13.7,14.366,14.6,15.0,85.432,qual,Japan,2023
4,jake jarman great,14.366,13.9,13.233,14.0,14.566,13.966,84.031,qual,Britain,2023
5,james hall great,13.966,14.033,13.833,13.5,14.466,13.833,83.631,qual,Britain,2023
6,fred richard united,14.6,14.2,13.4,14.533,14.6,12.233,83.566,qual,States,2023
7,milad karimi,14.5,12.2,13.166,14.566,14.2,14.6,83.232,qual,Kazakhstan,2023
8,asher hong united,14.3,13.1,13.966,14.766,14.833,12.2,83.165,qual,States,2023
9,artem dolgopyat,15.1,13.5,12.833,14.4,13.866,13.3,82.999,qual,Israel,2023
10,adem asil,13.8,12.866,14.166,14.566,13.866,13.366,82.63,qual,Türkiye,2023
11,yumin abbadini,13.533,13.5,13.5,13.966,14.0,14.033,82.532,qual,Italy,2023
12,noe seifert,14.2,12.766,13.366,14.066,14.333,13.733,82.464,qual,Switzerland,2023
13,lukas dauser,13.433,13.233,12.966,13.866,15.3,13.566,82.364,qual,Germany,2023
14,sun wei,13.6,12.966,13.633,14.2,14.233,13.466,82.098,qual,China,2023
15,lorenzo casali,13.6,13.2,13.566,14.566,14.0,13.133,82.065,qual,Italy,2023
16,artur davtyan,13.233,13.833,13.833,15.033,13.2,12.9,82.032,qual,Armenia,2023
17,rene cournoyer,13.5,12.933,13.666,14.233,13.8,13.866,81.998,qual,Canada,2023
18,krisztofer meszaros,14.2,13.5,13.7,14.133,14.2,12.2,81.933,qual,Hungary,2023
19,illia kovtun,13.133,14.366,13.133,14.266,15.233,11.8,81.931,qual,Ukraine,2023
20,florian langenegger,14.2,13.366,12.933,14.266,13.866,13.233,81.864,qual,Switzerland,2023
21,casimir schmidt,13.533,13.133,13.933,14.366,13.6,13.266,81.831,qual,Netherlands,2023
22,mario macchiati,13.633,13.2,13.1,14.5,14.166,13.2,81.799,qual,Italy,2023
23,lee junho south,13.633,12.666,13.566,14.3,14.0,13.5,81.665,qual,Korea,2023
24,ilia liubimov,13.633,13.9,12.466,14.033,13.933,13.433,81.398,qual,Israel,2023
25,ahmet önder,14.266,12.966,13.4,14.166,12.766,13.6,81.164,qual,Türkiye,2023
26,diogo soares,12.866,13.766,13.0,14.033,14.233,13.166,81.064,qual,Brazil,2023
27,nestor abad,14.166,13.1,13.6,13.2,13.8,13.033,80.899,qual,Spain,2023
28,thierno diallo,13.633,13.6,13.3,14.0,14.366,11.9,80.799,qual,Spain,2023
29,luka van den keybus,13.933,12.066,12.8,14.4,14.366,13.233,80.798,qual,Belgium,2023
30,andrei muntean,13.633,11.666,13.5,14.5,14.4,12.966,80.665,qual,Romania,2023
31,khabibullo ergashev,13.233,13.966,13.1,14.0,13.133,13.233,80.665,qual,Uzbekistan,2023
32,ivan tikhonov,13.733,13.466,13.533,13.966,13.266,12.666,80.63,qual,Azerbaijan,2023
33,sofus heggemsnes,13.2,12.8,13.066,14.3,13.933,13.2,80.499,qual,Norway,2023
34,pascal brendel,14.0,13.3,13.2,12.833,12.8,13.933,80.066,qual,Germany,2023
35,patrick sampaio,13.6,11.966,13.366,13.866,13.533,13.6,79.931,qual,Brazil,2023
36,abdulla azimov,13.7,14.333,12.366,13.833,12.533,13.1,79.865,qual,Uzbekistan,2023
37,omar mohamed,13.566,12.333,12.9,14.0,13.666,13.2,79.665,qual,Egypt,2023
38,clay mason stephens,13.833,12.133,12.566,14.2,13.666,13.266,79.664,qual,Australia,2023
39,oskar kirmes,13.233,12.4,13.266,13.933,13.766,13.033,79.631,qual,Finland,2023
40,ilias georgiou,12.433,12.066,13.4,14.366,14.133,13.066,79.464,qual,Cyprus,2023
41,oleg verniaiev,13.533,12.0,12.866,13.366,14.8,12.6,79.165,qual,Ukraine,2023
42,jermain grünberg,13.733,10.5,12.933,13.7,14.5,13.666,79.032,qual,Netherlands,2023
43,utkirbek juraev,12.2,13.6,11.8,14.4,13.7,13.233,78.933,qual,Uzbekistan,2023
44,léo saladino,13.3,12.0,13.3,14.366,13.0,12.9,78.866,qual,France,2023
45,lee chih-kai,13.5,14.8,12.066,13.5,13.366,11.633,78.865,qual,Taiwan,2023
46,harald wibye,13.266,12.1,12.866,14.2,13.066,13.1,78.598,qual,Norway,2023
47,uri zeidel,13.333,13.366,13.0,12.966,12.7,13.233,78.598,qual,Israel,2023
48,jose nogueira,13.9,12.366,12.733,13.766,12.933,12.866,78.564,qual,Portugal,2023
49,zachary clay,13.1,13.666,13.033,13.466,12.166,13.066,78.497,qual,Canada,2023
50,mohamed afify,13.233,11.866,12.7,13.766,13.933,12.5,77.998,qual,Egypt,2023
51,mikhail koudinov new,12.866,12.533,13.033,13.866,13.9,11.633,77.831,qual,Zealand,2023
52,gagik khachikyan,12.666,14.6,12.266,13.333,12.733,12.133,77.731,qual,Armenia,2023
53,benedek tomcsanyi,13.5,13.1,13.233,13.966,12.7,11.166,77.665,qual,Hungary,2023
54,william emard,14.033,12.666,14.133,9.5,13.766,13.333,77.431,qual,Canada,2023
55,askhab matiev,13.3,11.666,12.8,13.833,12.866,12.966,77.431,qual,Austria,2023
56,isaac nuñez,13.366,11.966,12.166,13.966,13.7,12.066,77.23,qual,Mexico,2023
57,nazar chepurnyi,12.266,12.633,12.966,14.966,11.6,12.7,77.131,qual,Ukraine,2023
58,andres martinez,13.366,12.066,12.566,13.8,12.966,12.366,77.13,qual,Colombia,2023
59,krisztian balazs,12.966,12.233,11.9,13.566,13.833,12.533,77.031,qual,Hungary,2023
60,jim zona,13.833,9.166,13.333,14.133,13.533,12.866,76.864,qual,France,2023
61,nikolaos iliopoulos,12.466,11.966,11.966,13.533,13.933,12.966,76.83,qual,Greece,2023
62,james hardy,13.366,12.0,12.766,13.933,13.3,11.3,76.665,qual,Australia,2023
63,sebastian gawronski,13.9,11.7,12.5,13.8,13.133,11.6,76.633,qual,Poland,2023
64,santiago mayol,12.666,12.7,12.133,13.5,13.366,12.233,76.598,qual,Argentina,2023
65,elias koski,11.9,13.6,13.5,13.966,10.6,12.9,76.466,qual,Finland,2023
66,kevin penev,13.633,12.766,12.466,14.333,12.266,10.933,76.397,qual,Bulgaria,2023
67,robert tvorogal,13.166,12.866,11.866,13.866,12.733,11.6,76.097,qual,Lithuania,2023
68,diorges escobar,12.933,11.566,11.633,14.033,12.1,13.8,76.065,qual,Cuba,2023
69,robert burtanete,13.3,12.266,11.3,14.066,12.666,12.466,76.064,qual,Romania,2023
70,valgard reinhardsson,12.766,11.7,12.833,14.033,13.333,11.1,75.765,qual,Iceland,2023
71,petar vefic,12.033,12.633,12.633,13.366,13.366,11.633,75.664,qual,Serbia,2023
72,andres perez puerto,13.366,10.766,12.633,13.3,12.366,13.0,75.431,qual,Rico,2023
73,yeh cheng,13.533,12.8,11.333,13.133,12.066,12.533,75.398,qual,Taiwan,2023
74,van vi luong,12.1,11.5,12.4,14.1,12.866,12.3,75.266,qual,Vietnam,2023
75,ethan dick new,12.933,11.4,12.233,13.833,11.9,12.833,75.132,qual,Zealand,2023
76,diyas toishybek,12.566,13.833,12.166,13.166,13.366,9.9,74.997,qual,Kazakhstan,2023
77,hillal metidji,10.833,12.633,12.566,13.7,13.066,12.066,74.864,qual,Algeria,2023
78,marcus stenberg,12.666,10.2,13.2,13.5,12.566,12.6,74.732,qual,Sweden,2023
79,adam steele,10.766,12.1,12.366,14.366,12.166,12.733,74.497,qual,Ireland,2023
80,kacper garnczarek,11.433,11.766,12.166,14.1,11.866,12.833,74.164,qual,Poland,2023
81,gytis chasazyrovas,12.733,11.566,12.5,13.4,11.4,12.5,74.099,qual,Lithuania,2023
82,ricardo rudy,12.033,12.2,12.533,13.633,11.766,11.933,74.098,qual,Austria,2023
83,ilyas azizov,11.833,12.433,12.0,13.4,11.5,12.9,74.066,qual,Kazakhstan,2023
84,usukhbayar erkhembayar,13.7,10.8,12.233,14.0,11.833,11.4,73.966,qual,Mongolia,2023
