Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,kohei kameyama,JPN,6.9,8.933,0,2013,final,15.833,0
2,max whitlock,GBR,7.2,8.433,0,2013,final,15.633,1
2,daniel barron corral,MEX,6.8,8.833,0,2013,final,15.633,0
4,hongtao zhang,CHN,6.6,9.0,0,2013,final,15.6,0
4,alberto busnari,ITA,7.1,8.5,0,2013,final,15.6,0
6,robert seligman,CRO,6.4,9.033,0,2013,final,15.433,0
7,matvei petrov,RUS,6.7,8.716,0,2013,final,15.416,0
8,prashanth sellathurai,AUS,6.6,7.433,0,2013,final,14.033,0
