Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
111,timur bairamov,AZE,10.433,5.5,11.166,12.933,12.341,10.366,62.739,qual,2018
112,patricio razo,MEX,12.533,3.466,6.4,13.933,12.333,11.733,60.398,qual,2018
113,ahmed mosa,QAT,10.5,6.8,9.8,13.066,10.8,9,59.966,qual,2018
114,bernardo almeida,POR,11.433,10.5,12.966,0,11.933,12.5,59.332,qual,2018
115,jamorn prommannee,THA,11.033,4.1,5.9,12.166,13.433,11,57.632,qual,2018
200,daniel aguero,PER,13.5,3.766,12.1,14.2,12.7,DNS,DNF,qual,2018
200,jon gunnarsson,ISL,DNS,9.733,12.7,DNS,DNS,11,DNF,qual,2018
200,adelin kotrong,ROU,13.5,8.233,DNS,14.366,DNS,12.266,DNF,qual,2018
200,arian leon,PER,11.466,9.233,10.266,12.733,DNS,11.583,DNF,qual,2018
200,frank rijken,NED,13.6,10.233,13.2,DNS,14.033,13,DNF,qual,2018
200,tikumporn surintornta,THA,13.6,DNS,11.933,13.566,DNS,11.633,DNF,qual,2018
