Rank,Athlete,Nation,D,E,ND,Total,round,year
82,yordan aleksandrov,BUL,5.2,8.233,0.0,13.433,qual,2019
83,antoine borello,FRA,5.4,8.133,-0.1,13.433,qual,2019
84,daan kenis,BEL,5.4,8.033,0.0,13.433,qual,2019
84,sofus heggemsnes,NOR,5.4,8.033,0.0,13.433,qual,2019
86,samuel zakutney,CAN,5.5,7.933,0.0,13.433,qual,2019
86,lee jung-hyo,SKR,5.5,7.933,0.0,13.433,qual,2019
88,abdulla azimov,UZB,5.0,8.4,0.0,13.4,qual,2019
89,isaac nunez,MEX,5.2,8.2,0.0,13.4,qual,2019
90,ahmet anis maoudj,ALG,5.3,8.1,0.0,13.4,qual,2019
91,kim vanström,SWE,5.9,7.9,-0.4,13.4,qual,2019
92,valgard reinhardsson,ISL,5.3,8.166,-0.1,13.366,qual,2019
93,shiao yu-jan,none,5.4,7.933,0.0,13.333,qual,2019
94,akash modi,USA,5.6,7.733,0.0,13.333,qual,2019
95,mitchell morgans,AUS,4.9,8.408,0.0,13.308,qual,2019
96,oskar kirmes,FIN,5.4,8.0,-0.1,13.3,qual,2019
97,ferhat arican,TUR,5.6,7.8,-0.1,13.3,qual,2019
98,ioane jimsheleishvili,GEO,5.5,7.8,0.0,13.3,qual,2019
98,le thanh tung,VIE,5.5,7.8,0.0,13.3,qual,2019
100,james bacueti,AUS,5.6,7.7,0.0,13.3,qual,2019
101,santiago mayol,ARG,5.7,7.6,0.0,13.3,qual,2019
102,andrey likhovitskiy,BLR,4.8,8.466,0.0,13.266,qual,2019
103,david jessen,CZE,5.1,8.166,0.0,13.266,qual,2019
104,pietro giachino,NOR,5.2,8.066,0.0,13.266,qual,2019
105,frantisek cerny,CZE,5.5,7.766,0.0,13.266,qual,2019
106,michel bletterman,NED,4.9,8.333,0.0,13.233,qual,2019
107,christian riisberg,DEN,5.3,8.033,-0.1,13.233,qual,2019
108,luka terbovsek,SLO,5.7,7.533,0.0,13.233,qual,2019
109,dawid weglarz,POL,5.3,7.9,0.0,13.2,qual,2019
110,victor rostagno,URU,5.4,7.8,0.0,13.2,qual,2019
111,thierno diallo,ESP,5.7,7.566,-0.1,13.166,qual,2019
112,ri wi chol,none,5.6,7.566,0.0,13.166,qual,2019
113,khabibullo ergashev,UZB,5.0,8.133,0.0,13.133,qual,2019
114,andres perez,PUR,5.2,7.933,0.0,13.133,qual,2019
115,matthias schwab,AUT,5.4,7.733,0.0,13.133,qual,2019
116,alexander benda,AUT,5.5,7.6,0.0,13.1,qual,2019
117,bernardo almeida,POR,5.1,7.966,0.0,13.066,qual,2019
118,krisztofer meszaros,HUN,5.2,7.866,0.0,13.066,qual,2019
119,elias koski,FIN,5.3,7.766,0.0,13.066,qual,2019
120,yunus gündogdu,TUR,5.4,7.666,0.0,13.066,qual,2019
121,tomas kuzmickas,LTU,5.0,8.033,0.0,13.033,qual,2019
122,murad agharzayev,AZE,5.7,7.533,-0.2,13.033,qual,2019
123,vinzenz höck,AUT,4.8,8.2,0.0,13.0,qual,2019
124,bojan dejanovic,SRB,4.9,8.1,0.0,13.0,qual,2019
125,aditya rana,IND,5.0,8.0,0.0,13.0,qual,2019
125,petar vefic,SRB,5.0,8.0,0.0,13.0,qual,2019
127,razvan-denis marc,ROU,5.2,7.9,-0.1,13.0,qual,2019
