Rank,Athlete,Nation,D,E,ND,year,round,Total,medal
1,Oleg Verniaiev,UKR,6.9,9.225,0,2014,final,16.125,1
2,Danell Leyva,USA,6.9,9.033,0,2014,final,15.933,0
3,Ryohei Kato,JPN,6.7,8.966,0,2014,final,15.666,0
4,Deng Shudi,CHN,7.1,8.533,0,2014,final,15.633,0
5,Yusuke Tanaka,JPN,6.2,8.841,0,2014,final,15.041,0
6,Cheng Ran,CHN,6.8,8.066,0,2014,final,14.866,0
7,Donnell Whittenburg,USA,6.1,8.266,0,2014,final,14.366,0
8,Nikolai Kuksenkov,RUS,6.5,7.166,0,2014,final,13.666,0
