Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,year,round
1,igor radivilov,UKR,5.6,9.366,0.0,14.966,5.6,9.333,0.0,14.933,14.949,2019,final
2,loris frasca,FRA,5.6,9.4,0.0,15.0,5.6,9.2,0.0,14.8,14.9,2019,final
3,dominick cunningham,none,5.4,9.166,0.0,14.566,5.6,9.333,0.0,14.933,14.749,2019,final
4,hidenobu yonekura,JPN,6.0,8.525,0.0,14.525,5.6,9.033,0.0,14.633,14.579,2019,final
5,shin jea-hwan,SKR,5.6,9.033,0.0,14.633,5.2,9.3,0.0,14.5,14.566,2019,final
6,christopher remkes,AUS,5.6,9.033,-0.1,14.533,5.6,8.033,0.0,13.633,14.083,2019,final
7,kim han-sol,SKR,5.6,8.066,-0.1,13.566,5.2,9.233,0.0,14.433,13.999,2019,final
8,milad karimi,KAZ,5.2,8.0,-0.3,12.9,5.2,9.066,0.0,14.266,13.583,2019,final
