Rank,Gymnast,D Score,E Score,Pen.,Total
1,Carlos Yulo,6.3,9,,15.3
2,Dmitriy Patanin,5.9,8.466,,14.366
3,Su Weide,6.3,8.033,,14.333
4,Fumiya Sasaki,5.8,8.433,,14.233
5,Milad Karimi,6.3,8.1,,14.1
6,Shinnosuke Oka,5.9,8.433,,13.933
7,Ryu Sung-hyun,5.8,7.633,,13.433
8,John Ivan Cruz,5.5,5.933,,11.433
