Rank,Gymnast,ct1_D Score,vt_1E Score,vt1_Pen.,Score 1,vt2_D Score,vt2_E Score,vt_2Pen.,Score 2,Total
1,Carlos Yulo,5.6,8.366,,13.966,5.6,9.033,,14.633,14.299
2,Abdulaziz Mirvaliev,5.6,9.066,,14.666,5.6,8,–0.1,13.5,14.083
3,Kim Jae-ho,5.2,9.133,,14.333,5.2,8,,13.2,13.766
4,Tikumporn Surintornta,5.2,8.033,,13.233,5.2,8.9,,14.1,13.667
5,Erkhembayar Usukhbayar,4.8,9.166,,13.966,4,9.3,,13.3,13.633
6,Muhammad Sharul Aimy,5.2,7.833,,12.933,5.2,9.1,,14.3,13.617
7,Ng Ka Ki,5.6,7.766,,13.366,5.2,8.6,,13.8,13.583
8,Juancho Miguel Besana,5.6,7.933,,13.233,5.2,8.7,–0.3,13.6,13.417
