Rank,Gymnast,D Score,E Score,Pen.,Total
1,Tian Hao,6.4,8.133,,14.533
2,Shinnosuke Oka,5.5,8.866,,14.366
3,Carlos Yulo,5.4,8.633,,14.033
4,Lee Chih-kai,5.1,8.233,,13.333
5,Rasuljon Abdurakhimov,4.9,8.3,,13.2
6,Takeru Kitazono,5.4,7.366,,12.766
7,Su Weide,5.3,6.566,,11.866
8,Milad Karimi,5.2,6.366,,11.566
