Rank,Gymnast,D Score,E Score,Pen.,Total
1,Nariman Kurbanov,6.6,8.733,,15.333
2,Ahmad Abu Al-Soud,6.4,8.833,,15.233
3,Ryota Tsumura,6.6,8.433,,15.033
4,Yin Dehang,6.4,8.066,,14.466
5,Shinnosuke Oka,5.8,8.6,,14.4
6,Tian Hao,5.8,8.5,,14.3
7,Khabibullo Ergashev,5.5,8.3,,13.8
8,Abdulla Azimov,6.3,6.6,,12.9
