Rank,Gymnast,D Score,E Score,Pen.,Total
1,Lan Xingyu,6.4,8.8,,15.2
2,Nguyễn Văn Khánh Phong,5.9,8.466,,14.366
3,Ng Kiu Chung,5.7,8.4,,14.1
4,Carlos Yulo,5.7,8.333,,14.033
5,Lin Guan-yi,5.8,8.2,,14
6,Shinnosuke Oka,5.6,8.366,,13.966
7,Lee Junghyo,5.3,8.5,,13.8
8,Yin Dehang,5.5,7.9,,13.4
