Rank,Gymnast,D Score,E Score,Pen.,Total
1,Carlos Yulo,6.3,8.966,,15.266
2,Shinnosuke Oka,6.4,8.733,,15.133
3,Yin Dehang,6.4,8.7,,15.1
4,Ryu Sung-hyun,5.6,8.833,,14.433
5,Ryu Jae-ho,5.4,8.433,,13.833
6,Takeru Kitazono,5.2,7.6,,12.8
7,Lan Xingyu,5.9,6.833,,12.733
8,Nguyễn Phước Hải,5.5,7.133,,12.633
