0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Kenzo Shirai,Japan,7.6,8.850,,16.450
2,Matthias Fahrig,Germany,6.8,8.700,-0.3,15.200
3,Bart Deurloo,Netherlands,6.5,8.575,,15.075
4,Rayderley Zapata,Spain,6.7,8.100,,14.800
5,Eleftherios Kosmidis,Greece,6.6,7.750,-0.1,14.250
6,Mathias Philippe,France,6.1,7.325,-0.1,13.325
7,Kevin Antoniotti,France,5.8,7.175,,12.975
8,Diego Hypolito,Brazil,6.8,6.125,-0.1,12.825
