Date,Competition,,VT,UB,BB,FX,AA
Aug 24-27,U.S. Championships,AA,14.1,13.8,12.75,13.75,54.4
Aug 24-27,U.S. Championships,QF,14,12.3,11.7,13.5,51.5
Aug 4-6,U.S. Classic,AA,13.4,12.2,13.2,13.15,51.95
Jul 9-12,July National Team Camp,AA,0,0,12.4,0,0
Jul 8-9,American Classic,AA,13.25,0,13,0,0
