Rank,Athlete,Nation,D,E,ND,Total
108,David Rumbutis,Sweden,5,8.1,,13.1
109,Manrique Larduet,Cuba,5.5,7.6,,13.1
110,Rafael Rosendi,Cuba,5.8,7.3,,13.1
111,David Jessen,Czech Republic,4.9,8.166,,13.066
111,Aditya Rana,India,4.9,8.166,,13.066
113,Giarnni Regini-Moran,Great Britain,5.7,7.366,,13.066
114,Isaac Nunez,Mexico,5.9,7.166,,13.066
115,Adam Steele,Ireland,4.3,8.733,,13.033
116,Matthias Schwab,Austria,4.5,8.533,,13.033
117,Jesus Moreto,Peru,5,8,,13
118,Aleh Tsiaselski,Belarus,5.1,7.9,,13
119,Park Min-soo,South Korea,5.3,7.7,,13
120,Marios Georgiou,Cyprus,5.6,7.4,,13
121,Marco Lodadio,Italy,4.6,8.366,,12.966
122,Olegs Ivanovs,Latvia,4.7,8.266,,12.966
123,Stian Skjerahaug,Norway,5.1,7.866,,12.966
124,Elias Koski,Finland,4.7,8.233,,12.933
125,Robert Kirmes,Finland,5.1,7.833,,12.933
126,Dawid Weglarz,Poland,5.2,7.733,,12.933
127,Filip Sasnal,Poland,4.2,8.7,,12.9
128,Eeli Mikkola,Finland,4.4,8.5,,12.9
129,Ilyas Azizov,Kazakhstan,4.7,8.166,,12.866
130,Toma Modoianu-Zseder,Romania,4.8,8.066,,12.866
131,Benedek Tomcsanyi,Hungary,4.8,8.033,,12.833
132,David Vecsernyes,Hungary,4.8,8,,12.8
133,Mohamed Afify,Egypt,5.2,7.6,,12.8
134,Arthur Mariano,Brazil,5.4,7.4,,12.8
135,Murad Agharzayev,Azerbaijan,4.4,8.366,,12.766
136,Krisztofer Meszaros,Hungary,4.7,8.066,,12.766
137,Carlo Macchini,Italy,4.8,7.966,,12.766
138,Bernardo Almeida,Portugal,4.8,7.9,,12.7
139,Petrix Barbosa,Portugal,5.8,6.858,,12.658
140,Artur Davtyan,Armenia,4.4,8.233,,12.633
141,Alexander Benda,Austria,5.1,7.533,,12.633
142,Fabian de Luna,Mexico,5.2,7.433,,12.633
143,Michael Reid,Jamaica,5.6,7.033,,12.633
144,Slavomir Michnak,Slovakia,4.6,8,,12.6
145,Devy Dyson,New Zealand,4.5,8.033,,12.533
146,Andres Perez,Puerto Rico,5,7.5,,12.5
147,Uche Eke,Nigeria,4.8,7.633,,12.433
148,Ahmed Al Dyani,Qatar,5.4,6.966,,12.366
149,Ri Wi Chol,North Korea,5.2,7.133,,12.333
150,Michael Tone,Australia,4.6,7.7,,12.3
150,Hsu Ping Chien,Chinese Taipei,4.6,7.7,,12.3
152,Abdulla Azimov,Uzbekistan,4.9,7.366,,12.266
153,Karim Rida,Germany,4.7,7.533,,12.233
154,Vinzenz Höck,Austria,4.3,7.9,,12.2
155,Konstantin Kuzovkov,Georgia,4.5,7.7,,12.2
156,Pietro Giachino,Norway,4.8,7.4,,12.2
157,Jose Lopez,Puerto Rico,5,7.2,,12.2
158,Martin Gudmundsson,Iceland,3.7,8.466,,12.166
159,Tarik Soto,Costa Rica,4.3,7.866,,12.166
160,Bidzina Sitchinava,Georgia,4.7,7.466,,12.166
161,Daniel Villafañe,Argentina,4.9,7.233,,12.133
162,Ioane Jimsheleishvili,Georgia,4.4,7.7,,12.1
163,Joseph Fox,Trinidad & Tobago,4.4,7.666,,12.066
164,Vitalijs Kardasovrs,Latvia,4.6,7.433,,12.033
165,Reiss Beckford,Jamaica,5.2,6.833,,12.033
166,Andres Valverde,Costa Rica,3.4,8.566,,11.966
167,Fabio Chicas,El Salvador,4,7.966,,11.966
168,Kevin Crovetto,Monaco,4.1,7.833,,11.933
168,Arian Leon Prado,Peru,4.1,7.833,,11.933
170,Saleem Naghouj,Jordan,4.5,7.366,,11.866
171,Bojan Dejanovic,Serbia,4.3,7.5,,11.8
172,Yogeshwar Singh,India,4.7,7.066,,11.766
173,Enkhtulga Altansukh,Mongolia,4.7,7,,11.7
174,Lukasz Borkowski,Poland,4.9,6.733,,11.633
175,Valgard Reinhardsson,Iceland,4.4,7.2,,11.6
176,Odin Kalvø,Norway,4.3,7.266,,11.566
177,Yunus Gündogdu,Turkey,4.6,6.866,,11.466
178,Rihards Trams,Latvia,4.1,7.266,,11.366
179,Victor Rostagno,Uruguay,4.6,6.566,,11.166
180,Abellino Rubio,Guatemala,4.9,6,,10.9
181,Razvan-Denis Marc,Romania,4.4,6.466,,10.866
182,Vlada Rakovic,Serbia,4.4,6.366,,10.766
183,Gerardo Cabrera,Uruguay,3.1,7.533,,10.633
184,Khabibullo Ergashev,Uzbekistan,3.6,7.033,,10.633
185,Frantisek Cerny,Czech Republic,4.3,6.266,,10.566
186,Meshari Al Deriwish,Kuwait,2.5,7.666,,10.166
187,Petar Vefic,Serbia,4.1,5.933,,10.033
188,Manuel Martinez,Colombia,5.2,5.133,-0.3,10.033
189,Yerbol Jantykov,Kazakhstan,4.6,4.966,,9.566
190,Nabil Zouhair,Morocco,3,6.266,,9.266
191,Sabah Al Subaiei,Kuwait,1.7,7.2,-4,4.9
192,Ali Al Jafar,Kuwait,1.7,6.433,-4,4.133
