Rank,Athlete,Nation,D,E,ND,Total,D,E,ND,Total,Average
1,Nikita Nagornyy,Russia,5.6,9.333,,14.933,5.6,9.4,,15,14.966
2,Artur Dalaloyan,Russia,5.6,9.333,,14.933,5.6,9.333,,14.933,14.933
3,Igor Radivilov,Ukraine,5.6,9.233,,14.833,5.6,9.066,,14.666,14.749
4,Marian Dragulescu,Romania,5.6,9.366,,14.966,5.4,8.883,,14.283,14.624
5,Dominick Cunningham,Great Britain,5.2,9.366,,14.566,5.4,9.166,,14.566,14.566
6,Le Thanh Tung,Vietnam,5.6,9.066,,14.666,5.2,9.2,,14.4,14.533
7,Shek Wai Hung,Hong Kong,6,7.933,,13.933,6,9,,15,14.466
8,Yang Hak-seon,South Korea,6,8.033,-0.3,13.733,5.6,9.3,,14.9,14.316
