Rank,Athlete,Nation,D,E,ND,Total
93,Shiao Yu-Jan,Chiense Taipei,5.4,7.933,,13.333
94,Akash Modi,United States,5.6,7.733,,13.333
95,Mitchell Morgans,Australia,4.9,8.408,,13.308
96,Oskar Kirmes,Finland,5.4,8,-0.1,13.3
97,Ferhat Arican,Turkey,5.6,7.8,-0.1,13.3
98,Ioane Jimsheleishvili,Georgia,5.5,7.8,,13.3
98,Le Thanh Tung,Vietnam,5.5,7.8,,13.3
100,James Bacueti,Australia,5.6,7.7,,13.3
101,Santiago Mayol,Argentina,5.7,7.6,,13.3
102,Andrey Likhovitskiy,Belarus,4.8,8.466,,13.266
103,David Jessen,Czech Republic,5.1,8.166,,13.266
104,Pietro Giachino,Norway,5.2,8.066,,13.266
105,Frantisek Cerny,Czech Republic,5.5,7.766,,13.266
106,Michel Bletterman,Netherlands,4.9,8.333,,13.233
107,Christian Riisberg,Denmark,5.3,8.033,-0.1,13.233
108,Luka Terbovsek,Slovenia,5.7,7.533,,13.233
109,Dawid Weglarz,Poland,5.3,7.9,,13.2
110,Victor Rostagno,Uruguay,5.4,7.8,,13.2
111,Thierno Diallo,Spain,5.7,7.566,-0.1,13.166
112,Ri Wi Chol,North Korea,5.6,7.566,,13.166
113,Khabibullo Ergashev,Uzbekistan,5,8.133,,13.133
114,Andres Perez,Puerto Rico,5.2,7.933,,13.133
115,Matthias Schwab,Austria,5.4,7.733,,13.133
116,Alexander Benda,Austria,5.5,7.6,,13.1
117,Bernardo Almeida,Portugal,5.1,7.966,,13.066
118,Krisztofer Meszaros,Hungary,5.2,7.866,,13.066
119,Elias Koski,Finland,5.3,7.766,,13.066
120,Yunus Gündogdu,Turkey,5.4,7.666,,13.066
121,Tomas Kuzmickas,Lithuania,5,8.033,,13.033
122,Murad Agharzayev,Azerbaijan,5.7,7.533,-0.2,13.033
123,Vinzenz Höck,Austria,4.8,8.2,,13
124,Bojan Dejanovic,Serbia,4.9,8.1,,13
125,Aditya Rana,India,5,8,,13
125,Petar Vefic,Serbia,5,8,,13
127,Razvan-Denis Marc,Romania,5.2,7.9,-0.1,13
128,Lucas Bitencourt,Brazil,5.5,7.8,-0.3,13
129,Oleg Verniaiev,Ukraine,5.7,7.7,-0.4,13
130,Daniel Radovesnicky,Czech Republic,4.9,8.066,,12.966
131,Noah Kuavita,Belgium,5.3,7.866,-0.2,12.966
132,Vitalijs Kardasovs,Latvia,5.2,7.766,,12.966
133,Reiss Beckford,Jamaica,5.4,7.633,-0.1,12.933
134,Mohamed Abdeldjalil Bourguieg,Algeria,4.9,8,,12.9
135,Rihards Trams,Latvia,4.8,8.066,,12.866
136,Joel Alvarez,Chile,4.9,7.966,,12.866
136,Yogeshwar Singh,India,4.9,7.966,,12.866
138,Audrys Nin Reyes,Dominican Republic,5.6,7.266,,12.866
139,Olegs Ivanovs,Latvia,4.9,8.033,-0.1,12.833
140,Lukasz Borkowski,Poland,4.9,7.933,,12.833
141,Cory Paterson,Canada,5.3,7.5,,12.8
142,Arian Leon Prado,Peru,4.4,8.366,,12.766
143,Jamorn Prommanee,Thailand,5.1,7.6,,12.7
144,Bidzina Sitchinava,Georgia,5.4,7.4,-0.1,12.7
145,Michael Tone,Australia,4.5,8.166,,12.666
146,Enkhtulga Altansukh,Mongolia,4.8,7.866,,12.666
147,Israel Chiriboga,Ecuador,5.3,7.433,-0.1,12.633
148,Jesus Moreto,Peru,4.5,8.1,,12.6
149,Mikhail Koudinov,New Zealand,4.7,7.9,,12.6
150,Adickxon Trejo,Venezuela,5,7.666,-0.1,12.566
151,Kakeru Tanigawa,Japan,6.2,6.966,-0.6,12.566
152,Frank Rijken,Netherlands,4.5,8.433,-0.4,12.533
153,Mohamed Afify,Egypt,4.3,8.233,,12.533
154,Benedek Tomcsanyi,Hungary,5.4,7.133,,12.533
155,Gabriel Swan,Australia,6.2,6.333,,12.533
