Rank,Athlete,Nation,D,E,ND,Total
1,Max Whitlock,Great Britain,7,8.5,,15.5
2,Lee Chih Kai,Chinese Taipei,6.5,8.933,,15.433
3,Rhys McClenaghan,Ireland,6.4,9,,15.4
4,Zou Jingyuan,China,6.3,8.7,,15
5,Kazuma Kaya,Japan,6.6,8.266,,14.866
6,Cyril Tommasone,France,6.3,8.533,,14.833
7,Shiao Yu-Jan,Chinese Taipei,6,8.733,,14.733
8,David Belyavskiy,Russia,6.4,7.166,,13.566
9,Daiki Hashimoto,Japan,5.9,7.433,,13.333
