Rank,Athlete,Nation,D,E,ND,Total
109,Aditya Rana,India,5,7.766,,12.766
110,Jackson Payne,Canada,5.1,7.666,,12.766
111,Noah Kuavita,Belgium,4.6,8.133,,12.733
111,Yordan Aleksandrov,Bulgaria,4.6,8.133,,12.733
111,Bernardo Almeida,Portugal,4.6,8.133,,12.733
114,Antoine Borello,France,4.5,8.216,,12.716
115,Mikhail Koudinov,New Zealand,4.5,8.2,,12.7
115,Vlada Rakovic,Serbia,4.5,8.2,,12.7
117,Alexander Benda,Austria,4.6,8.1,,12.7
118,Frank Rijken,Netherlands,4.7,8,,12.7
119,Manuel Martinez,Colombia,5.3,7.4,,12.7
120,Abdulla Azimov,Uzbekistan,4.3,8.366,,12.666
121,Victor Rostagno,Uruguay,5.1,7.533,,12.633
122,David Rumbutis,Sweden,4.3,8.3,,12.6
123,Rafael Rosendi,Cuba,5.5,7.075,,12.575
124,Jimmy Verbaeys,Belgium,4.5,8.066,,12.566
124,Filip Sasnal,Poland,4.5,8.066,,12.566
126,Oskar Kirmes,Finland,4.7,7.866,,12.566
126,Lukasz Borkowski,Poland,4.7,7.866,,12.566
128,Konstantin Kuzovkov,Georgia,4.4,8.133,,12.533
129,Ferhat Arican,Turkey,4.7,7.833,,12.533
130,Benedek Tomcsanyi,Hungary,4.8,7.733,,12.533
131,Tomas Gonzalez,Chile,4.9,7.633,,12.533
132,Ilyas Azizov,Kazakhstan,4.4,8.1,,12.5
133,Gabriel Swan,Australia,4.5,8,,12.5
134,Michel Bletterman,Netherlands,4.7,7.8,,12.5
135,Valgard Reinhardsson,Iceland,4.3,8.166,,12.466
136,David Jessen,Czech Republic,4.1,8.333,,12.433
137,Loo Phay Xing,Malaysia,4.2,8.233,,12.433
138,Andres Perez,Puerto Rico,4.4,7.966,,12.366
139,Soma Laszlo Csorvasi,Hungary,4.6,7.766,,12.366
140,Mohamed Afify,Egypt,4.4,7.933,,12.333
141,Razvan-Denis Marc,Romania,4.7,7.633,,12.333
142,Le Thanh Tung,Vietnam,4.9,7.433,,12.333
143,Luka van den Keybus,Belgium,4.4,7.9,,12.3
144,Yogeshwar Singh,India,4,8.266,,12.266
144,Olegs Ivanovs,Latvia,4,8.266,,12.266
146,Frantisek Cerny,Czech Republic,4.2,8.066,,12.266
147,Audrys Nin Reyes,Dominican Republic,4.3,7.966,,12.266
148,Adam Steele,Ireland,4.2,8.033,,12.233
149,Joseph Fox,Trinidad & Tobago,4,8.2,,12.2
150,Israel Chiriboga,Ecuador,4.4,7.8,,12.2
151,Robert Kirmes,Finland,4.8,7.366,,12.166
152,Slavomir Michnak,Slovakia,4.1,8.033,,12.133
153,Murad Agharzayev,Azerbaijan,4.4,7.733,,12.133
153,Isaac Nunez,Mexico,4.4,7.733,,12.133
155,Ahmed Al Dyani,Qatar,4.2,7.9,,12.1
156,Ryan Sheppard,Hungary,4.7,7.4,,12.1
157,Matthias Schwab,Austria,4,8.066,,12.066
158,Joel Alvarez,Chile,4.5,7.566,,12.066
159,Dinh Phuong Thanh,Vietnam,4.2,7.833,,12.033
160,Julien Saleur,France,4.7,7.333,,12.033
161,Carlos Calvo,Colombia,5.7,6.266,,11.966
162,Bidzina Sitchinava,Georgia,4.1,7.833,,11.933
162,Yerbol Jantykov,Kazakhstan,4.1,7.833,,11.933
164,Tomas Kuzmickas,Lithuania,4.2,7.733,,11.933
165,Andres Martinez,Colombia,4.7,7.2,,11.9
166,Caleb Faulk,Jamaica,4.6,7.275,,11.875
167,Eeli Mikkola,Finland,3.9,7.966,,11.866
168,Rihards Trams,Latvia,4.2,7.633,,11.833
169,Arian Leon Prado,Peru,4,7.8,,11.8
170,Bojan Dejanovic,Serbia,3.5,8.266,,11.766
171,Tikumporn Surintornta,Thailand,4.6,7.166,,11.766
172,Daniel Radovesnicky,Czech Republic,4,7.733,,11.733
172,Enkhtulga Altansukh,Mongolia,4,7.733,,11.733
174,Yahor Sharamkou,Belarus,4.3,7.366,,11.666
175,Ahmed Anis Maoudj,Algeria,3.8,7.833,,11.633
176,Ri Wi Chol,North Korea,4.9,6.733,,11.633
177,Ioane Jimsheleishvili,Georgia,4.4,7.2,,11.6
178,Elias Koski,Finland,4.9,6.666,,11.566
179,Dawid Weglarz,Poland,3.4,8.1,,11.5
180,Martin Gudmundsson,Iceland,3.5,8,,11.5
