Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Vitaliy Guimaraes Oklahoma,14.25,14.35,13.6,14.45,13.9,13.4,83.95
2,Khoi Young Stanford,13.55,15.342 (+0.642),12.55,15.244 (+0.244),13.75,13.1,83.536 (+0.886)
3,Asher Hong Cypress Academy,14.029 (+0.229),12.949 (+0.349),14.566 (+0.366),16.680 (+1.780),14.355 (+0.105),10.45,83.029 (+2.829)
4,Yul Moldauer 5280 Gymnastics,13.4,13.789 (+0.489),14.116 (+0.366),13.4,15.543 (+0.993),11.4,81.648 (+1.848)
5,Colt Walker Stanford,12.45,12.75,13.25,14.897 (+0.597),15.055 (+0.105),13.1,81.502 (+0.702)
6,Taylor Burkhart Stanford Boys,13.2,13.6,12.95,14.594 (+0.244),14.15,12.7,81.194 (+0.244)
7,Ian Lasic-Ellis Stanford,13.65,13.5,13.75,13.55,13.3,13.3,81.05
8,Riley Loos Stanford,12.7,13.6,13.6,14.747 (+0.597),14.1,12.3,81.047 (+0.597)
9,Colin Van Wicklen Oklahoma,13.45,11.7,13.3,14.847 (+0.597),13.7,13.15,80.147 (+0.597)
10,Zachary Nunez Oklahoma,12.6,13.6,12.95,14,13.4,13.15,79.7
11,Fuzzy Benas Oklahoma,13.2,11.8,13.2,14.4,13.75,12.95,79.3
12,Raydel Gamboa Oklahoma,13.45,11.85,11.9,14.1,14.05,13.45,78.8
13,Ian Gunther Stanford,13.15,13.2,13.5,13.45,12.1,13.25,78.65
14,Michael Jaroh Penn State,11.2,12.7,13.5,13.35,14.1,13.65,78.5
15,Isaiah Drake Navy,13.15,12.7,12.15,14.25,12.85,12.95,78.05
16,Nicolas Kuebler Stanford,12.15,12.95,13.05,13.45,13.2,13.15,77.95
17,Evan Davis Iowa Gym ACT,13.35,11.35,13.2,14.1,13.25,12.55,77.8
18,Mike Fletcher Illinois,12.4,13.35,12.9,13.15,13.15,12.4,77.35
19,Jeremy Bischoff Stanford,12.55,12.05,12.65,13.9,13.05,12.85,77.05
20,Jack Freeman Oklahoma,13.25,11.2,12.8,13.95,12.05,13.35,76.6
21,Mathew Davis Army,13.4,12.55,12.85,13.7,11.7,12.05,76.25
22,Noah Newfeld UC Berkeley,12.2,13.05,12.1,13.5,13.2,12.15,76.2
23,Toby Liang Roswell,12.55,13,12.4,14,10.6,13.25,75.8
24,Garrett Braunton Air Force,12.85,12.9,13.05,12.2,13.15,11.65,75.8
25,James Friedman Iowa Gym ACT,12.6,12.85,12.2,13.25,11.85,12.8,75.55
26,Landen Blixt Infinity,12.6,11.35,11.85,14.15,12.4,12.6,74.95
27,Michael Artlip Penn State,12.7,11.5,13.05,14,12.65,10.1,74
28,Fred Richard MEGA,11.85,12.25,11.95,13.9,12.4,11.65,74
29,Matt Cormier Penn State,10.15,12.1,13.5,14.2,11.05,12.95,73.95
30,Ignacio Yockers Pride,11.75,12.893 (+1.193),11.45,13.6,11.95,11.4,73.043 (+1.193)
31,Kazuki Hayashi Ohio State,12.2,9.6,12.25,14.6,12.75,11.25,72.65
32,Cole Partridge USA Gym World,12.05,9.5,12.5,13.25,13.1,11.85,72.25
33,Evan Hymanson Stanford Boys,11.5,10,12.8,13.2,11.75,12.75,72
34,Caleb Melton Apollo,11.75,11.75,12.05,12.9,11.5,12,71.95
35,Robert Neff USOPTC,12.95,12.15,0,14.25,12.7,11.65,63.7
36,Curran Phillips Stanford,0,0,0,14.7,16.343 (+1.193),13.757 (+0.107),63.700 (+1.300)
37,Alex Diab USOPTC,13.55,0,14.445 (+0.895),13,0,0,40.995 (+0.895)
38,Blake Sun Stanford,0,13.1,0,0,11.4,0,24.5
