Repetition	Part	Operator	Value
1	1	1	70
1	1	2	75.1
1	2	1	69.5
1	2	2	71.1
1	3	1	70
1	3	2	75.7
1	4	1	72
1	4	2	79.7
1	5	1	66
1	5	2	65.7
1	6	1	66.5
1	6	2	68.7
1	7	1	67.5
1	7	2	72
1	8	1	69.5
1	8	2	70.1
1	9	1	67
1	9	2	79.5
1	10	1	67
1	10	2	69.2
2	1	1	71
2	1	2	77.4
2	2	1	70.5
2	2	2	71.8
2	3	1	72
2	3	2	78.8
2	4	1	72.5
2	4	2	81.2
2	5	1	67
2	5	2	65.8
2	6	1	67
2	6	2	69
2	7	1	69.5
2	7	2	72.7
2	8	1	74
2	8	2	70.3
2	9	1	70
2	9	2	80.2
2	10	1	68
2	10	2	69
