Rank,Athlete,Club,D,E,ND,Total,D2,E2,ND2,Total2,Average
1,Claudia Fragapane,Bristol Hawks,5.8,8.9,,14.7,5.2,8.8,,14,14.35
2,Kelly Simm,Dynamo,5.6,8.9,,14.5,5,8.85,,13.85,14.175
2,Ellie Downie,Notts,5,9.15,,14.15,5.2,9,,14.2,14.175
4,Lisa Mason,Heathrow,5.3,7.35,-0.3,12.35,5,8,-0.1,12.9,12.625
