Rank,Athlete,Club,D,E,ND,Total
1,Tyesha Mattis,East London,6,8.4,,14.4
2,Ellie Downie,Notts,5.8,8.35,,14.15
3,Claudia Fragapane,Bristol Hawks,5.6,8.05,,13.65
4,Amy Tinkler,South Durham,5.5,7.8,,13.3
5,Raer Theaker,Cardiff Central,4.8,8.35,,13.15
6,Rebecca Moore,Phoenix,5.1,7.65,,12.75
7,Charlie Fellows,City of Liverpool,5.3,6.75,,12.05
8,Jade Stedford,City of Liverpool,5.6,6.4,,12
