Rank,Athlete,Club,D,E,ND,Total
1,Amy Tinkler,South Durham,5.7,8.75,,14.45
2,Claudia Fragapane,Bristol Hawks,6.1,8.45,-0.3,14.25
3,Lisa Mason,Heathrow,5.4,8.8,,14.2
4,Angel Romaeo,Cardiff Central,5,8.55,,13.55
,Kelly Simm,Dynamo,5.6,7.95,,13.55
6,Raer Theaker,Cardiff Central,5.2,8.2,,13.4
7,Jade Stedford,City of Liverpool,4.6,8.35,,12.95
8,Rebecca Moore,Phoenix,5,8,-0.1,12.9
