Rank,Athlete,D Score,E Score,Pen.,Total
1,Carlotta Ferlito(ITA),5.3,7.9,,13.2
2,Aiko Sugihara(JPN),5.3,7.7,,13
3,Uliana Perebinosova(RUS),4.7,8,,12.7
4,Farah Ann Abdul Hadi(MAS),4.6,7.95,,12.55
5,Hitomi Hatakeda(JPN),4.7,7.85,,12.55
6,Lilia Akhaimova(RUS),5.5,6.75,,12.25
7,Jessica Dowling(CAN),4.6,7.45,0.1,11.95
8,Barbora Mokosova(SVK),4.7,7.1,,11.8
