Rank,Athlete,Nation,D,E,ND,Total,D,E,ND,Total,Average
1,Igor Radivilov,Ukraine,5.6,9.366,,14.966,5.6,9.333,,14.933,14.949
2,Loris Frasca,France,5.6,9.4,,15,5.6,9.2,,14.8,14.9
3,Dominick Cunningham,Great Britain,5.4,9.166,,14.566,5.6,9.333,,14.933,14.749
4,Hidenobu Yonekura,Japan,6,8.525,,14.525,5.6,9.033,,14.633,14.579
5,Shin Jea-hwan,South Korea,5.6,9.033,,14.633,5.2,9.3,,14.5,14.566
6,Christopher Remkes,Australia,5.6,9.033,-0.1,14.533,5.6,8.033,,13.633,14.083
7,Kim Han-sol,South Korea,5.6,8.066,-0.1,13.566,5.2,9.233,,14.433,13.999
8,Milad Karimi,Kazakhstan,5.2,8,-0.3,12.9,5.2,9.066,,14.266,13.583
