Vault,VT_ND,UE_ND,BB_ND,FX_ND
-0.500,-0.5,0.0,0.0,-0.1
0,0.0,0.0,0.0,-0.1
0,0.0,0.0,0.0,-0.1
0,0.0,0.0,0.0,-0.1
0,0.0,0.0,0.0,-0.1
0,0.0,-0.5,-0.1,0.0
0,0.0,0.0,0.0,-0.1
0,0.0,0.0,0.0,-0.2
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,-0.1
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,-0.1
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,-0.2
0,0.0,-0.3,0.0,0.0
-0.300,-0.3,0.0,0.0,0.0
0,0.0,0.0,0.0,-0.6
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0
