Rank,Gymnast,D Score,E Score,Pen.,Total
1,Max Whitlock(GBR),7,8.583,,15.583
2,Lee Chih-kai(TPE),6.7,8.7,,15.4
3,Kazuma Kaya(JPN),6.6,8.3,,14.9
4,David Belyavskiy(ROC),6.4,8.433,,14.833
5,Kohei Kameyama(JPN),6.8,7.8,,14.6
6,Alec Yoder(USA),6.4,8.166,,14.566
7,Rhys McClenaghan(IRL),6.4,6.7,,13.1
8,Sun Wei(CHN),6.3,6.766,,13.066
