Rank,Gymnast,D Score,E Score,Pen.,Total
1,Artem Dolgopyat(ISR),6.6,8.433,0.1,14.933
2,Rayderley Zapata(ESP),6.5,8.433,,14.933
3,Xiao Ruoteng(CHN),6.2,8.566,,14.766
4,Ryu Sung-hyun(KOR),7,7.533,0.3,14.233
5,Milad Karimi(KAZ),6.4,8.033,0.3,14.133
6,Yul Moldauer(USA),5.4,8.133,,13.533
7,Nikita Nagornyy(ROC),6.4,6.966,0.3,13.066
8,Kim Han-sol(KOR),6.3,6.766,,13.066
