Rank,Gymnast,D Score,E Score,Pen.,Total
1,Liu Yang(CHN),6.5,9,,15.5
2,You Hao(CHN),6.6,8.7,,15.3
3,Eleftherios Petrounias(GRE),6.3,8.9,,15.2
4,Samir Aït Saïd(FRA),6.3,8.6,,14.9
5,İbrahim Çolak(TUR),6.2,8.666,,14.866
6,Denis Ablyazin(ROC),6.3,8.533,,14.833
7,Adem Asil(TUR),6.2,8.4,,14.6
8,Arthur Zanetti(BRA),6.5,7.633,,14.133
